caller_number,receiver_number,timestamp,duration_seconds,tower_location,call_type
+918637653364,+918647586631,2026-08-03 05:21:00,159,Kolkata,Voice
+910453411811,+914120832992,2026-08-03 05:57:00,277,Kolkata,Voice
+919835012345,+919431054321,2026-08-03 07:45:00,240,Ranchi,Voice
+919732098765,+919830011223,2026-08-03 07:51:00,339,Dhanbad,Voice
+919835012345,+919431054321,2026-08-03 09:47:00,806,Ranchi,Voice
+919732098765,+919830011223,2026-08-03 10:16:00,614,Dhanbad,Voice
+919830011223,+919831122334,2026-08-03 10:32:00,598,Kolkata,Voice
+919431054321,+919732098765,2026-08-03 11:26:00,117,Ranchi,Voice
+912920913193,+914457209890,2026-08-03 18:33:00,239,Kolkata,Voice
+911727929178,+916698346281,2026-08-03 20:01:00,140,Ranchi,Voice
+918505221884,+914201541617,2026-08-03 20:34:00,62,Ranchi,Voice
+914052033787,+918896051470,2026-08-03 20:54:00,292,Patna,Voice
+918821827703,+919835012345,2026-08-03 21:04:00,287,Patna,Voice
+910453411811,+916476156518,2026-08-03 21:34:00,209,Kolkata,Voice
+914457209890,+916705129124,2026-08-03 22:16:00,91,Patna,Voice
+913891760586,+919133232853,2026-08-03 22:45:00,129,Patna,Voice
+911026188107,+916698346281,2026-08-03 23:27:00,193,Kolkata,Voice
+910523748099,+919830011223,2026-08-04 00:23:00,131,Patna,Voice
+911727929178,+912359496618,2026-08-04 02:09:00,186,Patna,Voice
+910523748099,+914120832992,2026-08-04 02:15:00,80,Patna,Voice
+916789204099,+911026188107,2026-08-04 03:17:00,62,Kolkata,Voice
+918637653364,+919963444402,2026-08-04 03:27:00,235,Kolkata,Voice
+913583020791,+916789204099,2026-08-04 03:38:00,35,Ranchi,Voice
+910523748099,+911727929178,2026-08-04 03:42:00,52,Patna,Voice
+914201541617,+916789204099,2026-08-04 05:31:00,98,Patna,Voice
+910523748099,+916789204099,2026-08-04 16:44:00,73,Kolkata,Voice
+918637653364,+919831122334,2026-08-04 18:08:00,271,Ranchi,Voice
+916698346281,+910313612351,2026-08-04 20:08:00,25,Kolkata,Voice
+914457209890,+918647586631,2026-08-04 20:25:00,190,Patna,Voice
+918505221884,+911026188107,2026-08-04 23:06:00,39,Ranchi,Voice
+910313612351,+912359496618,2026-08-05 00:16:00,83,Patna,Voice
+918637653364,+916789204099,2026-08-05 02:47:00,48,Kolkata,Voice
+916705129124,+916476156518,2026-08-05 03:02:00,293,Patna,Voice
+916087451928,+916698346281,2026-08-05 03:36:00,262,Kolkata,Voice
+914457209890,+910453411811,2026-08-05 04:49:00,280,Patna,Voice
+919835012345,+919431054321,2026-08-05 09:26:00,634,Ranchi,Voice
+919431054321,+919732098765,2026-08-05 11:36:00,46,Ranchi,Voice
+916698346281,+914052033787,2026-08-05 16:37:00,64,Patna,Voice
+918821827703,+910523748099,2026-08-05 16:54:00,14,Patna,Voice
+910453411811,+913583020791,2026-08-05 17:37:00,68,Ranchi,Voice
+919133232853,+913090136499,2026-08-05 17:49:00,115,Ranchi,Voice
+918637653364,+918896051470,2026-08-05 17:57:00,89,Patna,Voice
+912359496618,+919732098765,2026-08-05 18:30:00,215,Patna,Voice
+919133232853,+910313612351,2026-08-05 19:36:00,232,Kolkata,Voice
+919133232853,+912920913193,2026-08-05 20:14:00,263,Patna,Voice
+913090136499,+915511688048,2026-08-05 20:19:00,62,Kolkata,Voice
+911727929178,+919963444402,2026-08-05 20:28:00,14,Kolkata,Voice
+910313612351,+913583020791,2026-08-05 21:50:00,175,Kolkata,Voice
+919830011223,+919831122334,2026-08-05 22:03:00,759,Kolkata,Voice
+913090136499,+910313612351,2026-08-05 22:11:00,255,Kolkata,Voice
+919835012345,+919431054321,2026-08-05 22:28:00,445,Ranchi,Voice
+911026188107,+919830011223,2026-08-05 23:38:00,248,Kolkata,Voice
+914201541617,+911026188107,2026-08-05 23:53:00,113,Ranchi,Voice
+913583020791,+916705129124,2026-08-06 00:05:00,250,Kolkata,Voice
+918896051470,+914201541617,2026-08-06 01:08:00,49,Ranchi,Voice
+913090136499,+914120832992,2026-08-06 01:51:00,86,Patna,Voice
+911727929178,+910523748099,2026-08-06 02:12:00,240,Kolkata,Voice
+918896051470,+910313612351,2026-08-06 03:09:00,215,Ranchi,Voice
+910313612351,+916705129124,2026-08-06 03:10:00,276,Ranchi,Voice
+913583020791,+911026188107,2026-08-06 03:36:00,91,Patna,Voice
+916789204099,+910313612351,2026-08-06 03:51:00,172,Ranchi,Voice
+912359496618,+918637653364,2026-08-06 04:05:00,290,Patna,Voice
+910523748099,+915511688048,2026-08-06 04:59:00,20,Kolkata,Voice
+916951256313,+914416664815,2026-08-06 05:13:00,230,Kolkata,Voice
+919963444402,+916705129124,2026-08-06 16:05:00,237,Ranchi,Voice
+911026188107,+919431054321,2026-08-06 17:08:00,67,Kolkata,Voice
+919963444402,+913583020791,2026-08-06 18:57:00,167,Patna,Voice
+914052033787,+919830011223,2026-08-06 20:06:00,29,Kolkata,Voice
+916705129124,+919963444402,2026-08-06 20:49:00,62,Ranchi,Voice
+918647586631,+914416664815,2026-08-06 20:51:00,228,Kolkata,Voice
+912920913193,+918821827703,2026-08-06 21:09:00,243,Patna,Voice
+919431054321,+919732098765,2026-08-06 22:39:00,97,Ranchi,Voice
+918637653364,+910313612351,2026-08-06 23:16:00,86,Patna,Voice
+918821827703,+916698346281,2026-08-06 23:18:00,152,Kolkata,Voice
+916705129124,+911026188107,2026-08-07 00:36:00,195,Ranchi,Voice
+910523748099,+919963444402,2026-08-07 00:43:00,225,Patna,Voice
+913583020791,+916087451928,2026-08-07 02:18:00,230,Ranchi,Voice
+914052033787,+918505221884,2026-08-07 02:45:00,270,Ranchi,Voice
+917667375196,+914120832992,2026-08-07 03:23:00,88,Ranchi,Voice
+916698346281,+916951256313,2026-08-07 04:17:00,251,Ranchi,Voice
+916705129124,+916698346281,2026-08-07 04:44:00,210,Patna,Voice
+918896051470,+919963444402,2026-08-07 04:58:00,47,Patna,Voice
+919732098765,+919830011223,2026-08-07 09:59:00,856,Dhanbad,Voice
+919431054321,+919732098765,2026-08-07 11:40:00,223,Ranchi,Voice
+916705129124,+916789204099,2026-08-07 16:41:00,200,Kolkata,Voice
+915511688048,+919431054321,2026-08-07 16:55:00,84,Kolkata,Voice
+913583020791,+914416664815,2026-08-07 18:12:00,80,Patna,Voice
+911026188107,+916705129124,2026-08-07 18:36:00,101,Ranchi,Voice
+913583020791,+910523748099,2026-08-07 18:50:00,206,Patna,Voice
+916087451928,+919431054321,2026-08-07 19:40:00,18,Patna,Voice
+918896051470,+919431054321,2026-08-07 20:08:00,197,Patna,Voice
+912920913193,+914457209890,2026-08-07 20:40:00,182,Kolkata,Voice
+913583020791,+915511688048,2026-08-07 20:46:00,60,Patna,Voice
+914457209890,+918821827703,2026-08-07 21:24:00,97,Ranchi,Voice
+914052033787,+919831122334,2026-08-07 21:44:00,144,Kolkata,Voice
+919835012345,+919431054321,2026-08-07 22:13:00,454,Ranchi,Voice
+917667375196,+910313612351,2026-08-07 23:49:00,104,Patna,Voice
+916951256313,+919431054321,2026-08-08 00:09:00,240,Ranchi,Voice
+914457209890,+918637653364,2026-08-08 01:29:00,247,Kolkata,Voice
+916087451928,+917667375196,2026-08-08 01:58:00,217,Kolkata,Voice
+914201541617,+916705129124,2026-08-08 03:58:00,183,Kolkata,Voice
+916951256313,+914201541617,2026-08-08 03:58:00,99,Ranchi,Voice
+916705129124,+919831122334,2026-08-08 05:16:00,134,Ranchi,Voice
+912359496618,+913891760586,2026-08-08 05:53:00,81,Ranchi,Voice
+919830011223,+919831122334,2026-08-08 10:44:00,674,Kolkata,Voice
+919830011223,+919831122334,2026-08-08 10:50:00,331,Kolkata,Voice
+919830011223,+919831122334,2026-08-08 11:46:00,69,Kolkata,Voice
+916705129124,+914201541617,2026-08-08 17:10:00,93,Patna,Voice
+918896051470,+916087451928,2026-08-08 17:22:00,205,Patna,Voice
+916951256313,+918647586631,2026-08-08 18:07:00,265,Kolkata,Voice
+910313612351,+918896051470,2026-08-08 18:09:00,49,Ranchi,Voice
+916789204099,+917667375196,2026-08-08 18:30:00,203,Ranchi,Voice
+917667375196,+919963444402,2026-08-08 19:22:00,76,Kolkata,Voice
+916705129124,+914120832992,2026-08-08 21:14:00,107,Kolkata,Voice
+919133232853,+916951256313,2026-08-08 21:14:00,30,Patna,Voice
+916951256313,+916698346281,2026-08-08 21:16:00,52,Kolkata,Voice
+916087451928,+918821827703,2026-08-08 21:36:00,83,Patna,Voice
+919133232853,+917667375196,2026-08-08 21:58:00,71,Kolkata,Voice
+916789204099,+918637653364,2026-08-08 22:59:00,122,Ranchi,Voice
+914457209890,+914416664815,2026-08-08 23:21:00,181,Patna,Voice
+914457209890,+919133232853,2026-08-08 23:25:00,212,Kolkata,Voice
+918647586631,+916476156518,2026-08-08 23:35:00,11,Ranchi,Voice
+916087451928,+919831122334,2026-08-09 00:45:00,20,Kolkata,Voice
+910523748099,+919133232853,2026-08-09 00:55:00,153,Patna,Voice
+913583020791,+911727929178,2026-08-09 01:30:00,37,Kolkata,Voice
+912920913193,+914052033787,2026-08-09 02:25:00,247,Patna,Voice
+910453411811,+914416664815,2026-08-09 02:44:00,206,Ranchi,Voice
+918821827703,+911727929178,2026-08-09 03:32:00,57,Patna,Voice
+919133232853,+910313612351,2026-08-09 04:47:00,167,Kolkata,Voice
+916789204099,+919431054321,2026-08-09 05:18:00,149,Kolkata,Voice
+919431054321,+919732098765,2026-08-09 07:38:00,858,Ranchi,Voice
+919732098765,+919830011223,2026-08-09 07:45:00,328,Dhanbad,Voice
+919431054321,+919732098765,2026-08-09 07:59:00,886,Ranchi,Voice
+919835012345,+919431054321,2026-08-09 11:43:00,530,Ranchi,Voice
+910453411811,+916698346281,2026-08-09 16:52:00,14,Ranchi,Voice
+917667375196,+918637653364,2026-08-09 17:21:00,282,Kolkata,Voice
+917667375196,+918637653364,2026-08-09 17:34:00,62,Ranchi,Voice
+911026188107,+914201541617,2026-08-09 19:44:00,168,Kolkata,Voice
+918821827703,+918505221884,2026-08-09 20:31:00,22,Ranchi,Voice
+913891760586,+913583020791,2026-08-09 20:57:00,82,Kolkata,Voice
+916705129124,+915511688048,2026-08-09 22:14:00,97,Kolkata,Voice
+914052033787,+914416664815,2026-08-09 22:46:00,178,Kolkata,Voice
+916951256313,+916789204099,2026-08-09 23:56:00,235,Ranchi,Voice
+916087451928,+914052033787,2026-08-10 00:33:00,275,Ranchi,Voice
+912359496618,+919133232853,2026-08-10 03:20:00,36,Ranchi,Voice
+918821827703,+911026188107,2026-08-10 04:28:00,180,Patna,Voice
+910453411811,+916951256313,2026-08-10 05:29:00,187,Kolkata,Voice
+919431054321,+919732098765,2026-08-10 07:06:00,430,Ranchi,Voice
+919835012345,+919431054321,2026-08-10 07:16:00,266,Ranchi,Voice
+919732098765,+919830011223,2026-08-10 10:39:00,441,Dhanbad,Voice
+917667375196,+911727929178,2026-08-10 16:12:00,20,Ranchi,Voice
+914201541617,+912359496618,2026-08-10 17:13:00,230,Patna,Voice
+919133232853,+916476156518,2026-08-10 18:01:00,176,Kolkata,Voice
+918821827703,+910313612351,2026-08-10 18:06:00,91,Kolkata,Voice
+913583020791,+915511688048,2026-08-10 18:30:00,124,Patna,Voice
+914201541617,+916698346281,2026-08-10 19:41:00,213,Ranchi,Voice
+916698346281,+918647586631,2026-08-10 21:52:00,101,Patna,Voice
+911727929178,+914052033787,2026-08-10 22:05:00,226,Patna,Voice
+911026188107,+918821827703,2026-08-10 22:08:00,221,Kolkata,Voice
+913583020791,+914457209890,2026-08-10 22:09:00,47,Patna,Voice
+919431054321,+919732098765,2026-08-10 22:20:00,222,Ranchi,Voice
+914457209890,+918896051470,2026-08-10 23:37:00,295,Patna,Voice
+911026188107,+910523748099,2026-08-11 00:35:00,119,Kolkata,Voice
+910453411811,+912359496618,2026-08-11 01:56:00,268,Ranchi,Voice
+911026188107,+914457209890,2026-08-11 02:06:00,274,Kolkata,Voice
+914201541617,+910313612351,2026-08-11 02:42:00,243,Ranchi,Voice
+914120832992,+919431054321,2026-08-11 02:59:00,21,Kolkata,Voice
+916705129124,+918647586631,2026-08-11 03:54:00,81,Kolkata,Voice
+916705129124,+918505221884,2026-08-11 04:21:00,289,Ranchi,Voice
+913583020791,+914201541617,2026-08-11 04:50:00,147,Ranchi,Voice
+913891760586,+916698346281,2026-08-11 05:17:00,69,Kolkata,Voice
+914120832992,+916705129124,2026-08-11 05:30:00,134,Kolkata,Voice
+918821827703,+917667375196,2026-08-11 05:42:00,245,Kolkata,Voice
+914201541617,+918647586631,2026-08-11 16:52:00,286,Ranchi,Voice
+913583020791,+910313612351,2026-08-11 18:16:00,229,Patna,Voice
+910313612351,+919830011223,2026-08-11 19:11:00,42,Kolkata,Voice
+918896051470,+919830011223,2026-08-11 19:24:00,220,Kolkata,Voice
+911727929178,+911026188107,2026-08-11 20:31:00,232,Ranchi,Voice
+910313612351,+916476156518,2026-08-11 20:38:00,37,Kolkata,Voice
+910523748099,+915511688048,2026-08-11 21:11:00,120,Kolkata,Voice
+916087451928,+916705129124,2026-08-11 21:31:00,29,Patna,Voice
+910313612351,+914457209890,2026-08-11 21:47:00,155,Ranchi,Voice
+919963444402,+911727929178,2026-08-11 23:55:00,148,Patna,Voice
+918821827703,+913090136499,2026-08-12 01:32:00,104,Ranchi,Voice
+917667375196,+919835012345,2026-08-12 05:10:00,92,Kolkata,Voice
+915511688048,+916087451928,2026-08-12 05:58:00,46,Patna,Voice
+913891760586,+919431054321,2026-08-12 05:59:00,261,Ranchi,Voice
+919431054321,+919732098765,2026-08-12 09:12:00,134,Ranchi,Voice
+919835012345,+919431054321,2026-08-12 11:04:00,676,Ranchi,Voice
+918647586631,+916698346281,2026-08-12 16:04:00,226,Patna,Voice
+914120832992,+914201541617,2026-08-12 19:11:00,114,Kolkata,Voice
+918505221884,+919835012345,2026-08-12 19:35:00,267,Ranchi,Voice
+919963444402,+914052033787,2026-08-12 19:55:00,222,Patna,Voice
+910523748099,+914416664815,2026-08-12 21:06:00,247,Ranchi,Voice
+911727929178,+910453411811,2026-08-12 21:38:00,185,Kolkata,Voice
+919830011223,+919831122334,2026-08-12 22:20:00,105,Kolkata,Voice
+910523748099,+916951256313,2026-08-12 22:49:00,172,Patna,Voice
+910523748099,+912359496618,2026-08-12 23:30:00,252,Patna,Voice
+916087451928,+919835012345,2026-08-12 23:50:00,90,Patna,Voice
+914120832992,+919835012345,2026-08-13 01:07:00,42,Ranchi,Voice
+916698346281,+913090136499,2026-08-13 01:46:00,237,Ranchi,Voice
+918637653364,+919732098765,2026-08-13 01:47:00,281,Ranchi,Voice
+918637653364,+916789204099,2026-08-13 02:50:00,296,Ranchi,Voice
+914457209890,+918647586631,2026-08-13 03:13:00,231,Patna,Voice
+913583020791,+914457209890,2026-08-13 03:18:00,245,Patna,Voice
+915511688048,+916951256313,2026-08-13 03:49:00,18,Patna,Voice
+910523748099,+910453411811,2026-08-13 04:04:00,130,Ranchi,Voice
+918821827703,+910453411811,2026-08-13 04:07:00,274,Ranchi,Voice
+914416664815,+919732098765,2026-08-13 04:08:00,192,Ranchi,Voice
+919830011223,+919831122334,2026-08-13 09:16:00,447,Kolkata,Voice
+916087451928,+911026188107,2026-08-13 16:07:00,139,Kolkata,Voice
+917667375196,+914120832992,2026-08-13 17:27:00,226,Kolkata,Voice
+916951256313,+916476156518,2026-08-13 18:07:00,191,Ranchi,Voice
+919133232853,+916087451928,2026-08-13 18:12:00,131,Kolkata,Voice
+915511688048,+919133232853,2026-08-13 18:21:00,264,Ranchi,Voice
+916789204099,+916705129124,2026-08-13 18:41:00,286,Patna,Voice
+911727929178,+913090136499,2026-08-13 19:23:00,226,Ranchi,Voice
+916789204099,+914457209890,2026-08-13 21:53:00,117,Patna,Voice
+919963444402,+916705129124,2026-08-13 23:21:00,298,Ranchi,Voice
+917667375196,+918821827703,2026-08-14 00:19:00,200,Patna,Voice
+918647586631,+916705129124,2026-08-14 00:33:00,265,Ranchi,Voice
+916951256313,+919830011223,2026-08-14 00:35:00,94,Ranchi,Voice
+914416664815,+919830011223,2026-08-14 00:57:00,127,Kolkata,Voice
+913090136499,+910523748099,2026-08-14 02:43:00,119,Kolkata,Voice
+914120832992,+912359496618,2026-08-14 03:01:00,232,Patna,Voice
+919431054321,+919732098765,2026-08-14 11:20:00,713,Ranchi,Voice
+918637653364,+914052033787,2026-08-14 16:38:00,151,Patna,Voice
+914416664815,+912920913193,2026-08-14 17:06:00,123,Patna,Voice
+918505221884,+911026188107,2026-08-14 17:30:00,147,Patna,Voice
+910523748099,+918647586631,2026-08-14 17:47:00,269,Kolkata,Voice
+912920913193,+913891760586,2026-08-14 17:54:00,170,Ranchi,Voice
+918505221884,+914416664815,2026-08-14 18:06:00,144,Kolkata,Voice
+912359496618,+913583020791,2026-08-14 19:07:00,77,Patna,Voice
+914120832992,+911026188107,2026-08-14 21:07:00,205,Patna,Voice
+916951256313,+913891760586,2026-08-14 21:55:00,170,Patna,Voice
+911727929178,+915511688048,2026-08-14 22:07:00,249,Patna,Voice
+919963444402,+914457209890,2026-08-14 22:31:00,232,Kolkata,Voice
+918647586631,+913891760586,2026-08-14 23:44:00,257,Ranchi,Voice
+910523748099,+914416664815,2026-08-15 02:17:00,224,Ranchi,Voice
+918637653364,+912359496618,2026-08-15 03:04:00,243,Kolkata,Voice
+918896051470,+918821827703,2026-08-15 03:52:00,83,Ranchi,Voice
+913090136499,+912359496618,2026-08-15 04:19:00,133,Ranchi,Voice
+911727929178,+918647586631,2026-08-15 05:02:00,20,Patna,Voice
+919963444402,+919133232853,2026-08-15 05:03:00,274,Kolkata,Voice
+914052033787,+913583020791,2026-08-15 05:13:00,64,Kolkata,Voice
+918505221884,+913891760586,2026-08-15 05:23:00,232,Kolkata,Voice
+912920913193,+913583020791,2026-08-15 05:52:00,268,Ranchi,Voice
+919963444402,+910523748099,2026-08-15 05:53:00,125,Kolkata,Voice
+919835012345,+919431054321,2026-08-15 07:26:00,117,Ranchi,Voice
+919835012345,+919431054321,2026-08-15 07:39:00,763,Ranchi,Voice
+919431054321,+919732098765,2026-08-15 11:43:00,561,Ranchi,Voice
+911026188107,+910523748099,2026-08-15 17:39:00,288,Ranchi,Voice
+911026188107,+911727929178,2026-08-15 18:20:00,107,Patna,Voice
+914457209890,+919835012345,2026-08-15 19:13:00,103,Ranchi,Voice
+916698346281,+912920913193,2026-08-15 20:20:00,183,Patna,Voice
+913583020791,+919831122334,2026-08-15 20:31:00,215,Patna,Voice
+918637653364,+910523748099,2026-08-15 21:02:00,121,Patna,Voice
+914120832992,+919830011223,2026-08-15 21:42:00,153,Ranchi,Voice
+916698346281,+913090136499,2026-08-15 23:07:00,186,Ranchi,Voice
+913583020791,+914457209890,2026-08-15 23:32:00,86,Ranchi,Voice
+910523748099,+916087451928,2026-08-15 23:51:00,233,Patna,Voice
+913583020791,+916705129124,2026-08-16 02:34:00,159,Patna,Voice
+916698346281,+919133232853,2026-08-16 03:55:00,109,Ranchi,Voice
+913090136499,+913583020791,2026-08-16 05:22:00,59,Kolkata,Voice
+913090136499,+916789204099,2026-08-16 05:28:00,163,Patna,Voice
+916705129124,+916951256313,2026-08-16 05:33:00,210,Patna,Voice
+919830011223,+919831122334,2026-08-16 10:12:00,593,Kolkata,Voice
+919835012345,+919431054321,2026-08-16 11:40:00,246,Ranchi,Voice
+919835012345,+919431054321,2026-08-16 11:42:00,892,Ranchi,Voice
+910313612351,+918647586631,2026-08-16 16:05:00,184,Kolkata,Voice
+910313612351,+912920913193,2026-08-16 21:27:00,19,Kolkata,Voice
+916476156518,+913090136499,2026-08-16 22:21:00,203,Patna,Voice
+916698346281,+919830011223,2026-08-16 22:38:00,21,Ranchi,Voice
+919732098765,+919830011223,2026-08-16 22:42:00,219,Dhanbad,Voice
+919830011223,+919831122334,2026-08-16 22:47:00,690,Kolkata,Voice
+918647586631,+911727929178,2026-08-16 23:44:00,101,Ranchi,Voice
+911727929178,+914052033787,2026-08-16 23:45:00,211,Patna,Voice
+917667375196,+919732098765,2026-08-17 01:04:00,246,Ranchi,Voice
+910313612351,+916476156518,2026-08-17 01:29:00,66,Ranchi,Voice
+915511688048,+918505221884,2026-08-17 04:11:00,222,Patna,Voice
+917667375196,+919963444402,2026-08-17 05:17:00,176,Kolkata,Voice
+910453411811,+914052033787,2026-08-17 05:44:00,60,Kolkata,Voice
+919835012345,+919431054321,2026-08-17 09:01:00,724,Ranchi,Voice
+919835012345,+919431054321,2026-08-17 09:38:00,871,Ranchi,Voice
+919835012345,+919431054321,2026-08-17 11:10:00,540,Ranchi,Voice
+919732098765,+919830011223,2026-08-17 11:39:00,585,Dhanbad,Voice
+919835012345,+919431054321,2026-08-17 11:57:00,508,Ranchi,Voice
+914416664815,+919133232853,2026-08-17 16:22:00,123,Patna,Voice
+918896051470,+919133232853,2026-08-17 17:27:00,240,Patna,Voice
+916698346281,+916789204099,2026-08-17 17:45:00,286,Ranchi,Voice
+914201541617,+918821827703,2026-08-17 17:47:00,102,Kolkata,Voice
+914416664815,+918505221884,2026-08-17 18:38:00,120,Kolkata,Voice
+911026188107,+918637653364,2026-08-17 18:51:00,247,Ranchi,Voice
+910523748099,+917667375196,2026-08-17 20:44:00,135,Ranchi,Voice
+916951256313,+910453411811,2026-08-17 21:11:00,55,Patna,Voice
+919732098765,+919830011223,2026-08-17 22:09:00,862,Dhanbad,Voice
+916705129124,+912920913193,2026-08-17 23:32:00,236,Patna,Voice
+911727929178,+918647586631,2026-08-17 23:42:00,287,Patna,Voice
+913583020791,+910523748099,2026-08-18 00:24:00,274,Kolkata,Voice
+912359496618,+917667375196,2026-08-18 03:45:00,72,Kolkata,Voice
+916705129124,+913090136499,2026-08-18 04:22:00,262,Ranchi,Voice
+919963444402,+919133232853,2026-08-18 04:24:00,264,Ranchi,Voice
+910313612351,+914201541617,2026-08-18 05:25:00,190,Patna,Voice
+914457209890,+918505221884,2026-08-18 05:43:00,68,Kolkata,Voice
+918647586631,+912359496618,2026-08-18 16:18:00,122,Kolkata,Voice
+918505221884,+914457209890,2026-08-18 16:28:00,258,Kolkata,Voice
+918896051470,+918647586631,2026-08-18 17:39:00,35,Ranchi,Voice
+918637653364,+913891760586,2026-08-18 19:08:00,174,Patna,Voice
+916789204099,+915511688048,2026-08-18 20:10:00,208,Kolkata,Voice
+918505221884,+914416664815,2026-08-18 20:31:00,60,Ranchi,Voice
+918647586631,+914201541617,2026-08-18 22:41:00,43,Ranchi,Voice
+919133232853,+919963444402,2026-08-18 23:10:00,162,Patna,Voice
+918896051470,+918505221884,2026-08-19 00:13:00,259,Kolkata,Voice
+916698346281,+916951256313,2026-08-19 00:42:00,55,Kolkata,Voice
+916705129124,+919732098765,2026-08-19 01:01:00,273,Ranchi,Voice
+912359496618,+913891760586,2026-08-19 01:42:00,262,Kolkata,Voice
+910453411811,+917667375196,2026-08-19 03:32:00,173,Patna,Voice
+913090136499,+916951256313,2026-08-19 03:43:00,148,Patna,Voice
+918821827703,+917667375196,2026-08-19 03:53:00,247,Kolkata,Voice
+911026188107,+919830011223,2026-08-19 04:04:00,21,Patna,Voice
+916705129124,+918637653364,2026-08-19 04:42:00,222,Ranchi,Voice
+913583020791,+919963444402,2026-08-19 04:51:00,207,Kolkata,Voice
+914201541617,+912359496618,2026-08-19 05:35:00,147,Kolkata,Voice
+911026188107,+919835012345,2026-08-19 05:39:00,294,Ranchi,Voice
+918637653364,+916705129124,2026-08-19 05:50:00,109,Ranchi,Voice
+919835012345,+919431054321,2026-08-19 07:42:00,820,Ranchi,Voice
+919732098765,+919830011223,2026-08-19 09:13:00,381,Dhanbad,Voice
+914120832992,+918505221884,2026-08-19 16:21:00,143,Ranchi,Voice
+911026188107,+915511688048,2026-08-19 17:17:00,289,Ranchi,Voice
+910313612351,+918647586631,2026-08-19 17:40:00,88,Patna,Voice
+918505221884,+919431054321,2026-08-19 20:40:00,280,Ranchi,Voice
+916087451928,+915511688048,2026-08-19 21:43:00,283,Kolkata,Voice
+915511688048,+916705129124,2026-08-19 21:59:00,161,Kolkata,Voice
+913090136499,+910313612351,2026-08-19 22:01:00,235,Kolkata,Voice
+919830011223,+919831122334,2026-08-19 22:29:00,129,Kolkata,Voice
+912920913193,+914416664815,2026-08-19 22:31:00,159,Ranchi,Voice
+916789204099,+915511688048,2026-08-19 22:31:00,190,Kolkata,Voice
+913583020791,+910453411811,2026-08-19 22:44:00,212,Ranchi,Voice
+919830011223,+919831122334,2026-08-19 22:58:00,543,Kolkata,Voice
+916698346281,+916951256313,2026-08-19 23:02:00,111,Patna,Voice
+918505221884,+914201541617,2026-08-19 23:06:00,219,Patna,Voice
+911026188107,+916789204099,2026-08-20 00:14:00,151,Kolkata,Voice
+916698346281,+919133232853,2026-08-20 00:17:00,115,Kolkata,Voice
+914416664815,+919835012345,2026-08-20 02:52:00,48,Kolkata,Voice
+914052033787,+911727929178,2026-08-20 02:59:00,118,Ranchi,Voice
+913891760586,+918821827703,2026-08-20 03:40:00,281,Patna,Voice
+917667375196,+916951256313,2026-08-20 03:48:00,78,Kolkata,Voice
+916789204099,+910453411811,2026-08-20 05:07:00,273,Kolkata,Voice
+919830011223,+919831122334,2026-08-20 09:08:00,233,Kolkata,Voice
+912359496618,+916789204099,2026-08-20 17:07:00,100,Patna,Voice
+916698346281,+918896051470,2026-08-20 17:27:00,80,Patna,Voice
