transaction_id,sender_account,sender_name,receiver_account,receiver_name,amount_inr,timestamp,transaction_type
TXN8688246,AC2557678480,Megha Lad,AC5241932002,Qabil Bail,9587.62,2026-08-02 23:00:00,IMPS
TXN8665182,AC6677889900,Amit Banerjee,AC9180203068,Isaiah Kibe,12438.5,2026-08-03 00:00:00,IMPS
TXN6700677,AC4455667788,Vikram Singh,AC9742736835,Radhika Mukhopadhyay,7132.8,2026-08-03 01:00:00,IMPS
TXN7704570,AC9180203068,Isaiah Kibe,AC9668008862,Nitara Mital,4869.39,2026-08-03 01:00:00,POS
TXN3527765,AC7485632891,Peter Gaba,AC9443074726,Yashoda Atwal,4334.63,2026-08-03 02:00:00,UPI
TXN8857281,AC8982566726,Henry Chander,AC9443074726,Yashoda Atwal,5614.63,2026-08-03 03:00:00,IMPS
TXN4434193,AC2518270208,Advay Buch,AC8982566726,Henry Chander,10474.84,2026-08-03 03:00:00,UPI
TXN5760098,AC3291568710,Deepa Chad,AC5241932002,Qabil Bail,5624.11,2026-08-03 04:00:00,POS
TXN3420299,AC2557678480,Megha Lad,AC4899856501,Jagdish Thakkar,10925.93,2026-08-03 05:00:00,POS
TXN7543096,AC8982566726,Henry Chander,AC2222296206,Ekalinga Om,7098.71,2026-08-03 21:00:00,POS
TXN9109732,AC9668008862,Nitara Mital,AC2518270208,Advay Buch,14373.55,2026-08-03 22:00:00,POS
TXN8586320,AC5060963816,Wridesh Jain,AC5544332211,Sunita Sharma,3739.1,2026-08-03 23:00:00,UPI
TXN9819361,AC9180203068,Isaiah Kibe,AC5544332211,Sunita Sharma,7309.83,2026-08-03 23:00:00,UPI
TXN5211702,AC3452057664,Abeer Vaidya,AC9668008862,Nitara Mital,13611.24,2026-08-03 23:00:00,POS
TXN4064033,AC2839288593,Ati Jha,AC3488555681,Vasatika Saha,12338.57,2026-08-04 02:00:00,POS
TXN2804751,AC7485632891,Peter Gaba,AC4299133711,Jairaj Natt,4653.95,2026-08-04 02:00:00,UPI
TXN8901766,AC9988112233,Rahul Verma,AC2557678480,Megha Lad,13984.91,2026-08-04 04:00:00,POS
TXN5277951,AC9443074726,Yashoda Atwal,AC4455667788,Vikram Singh,11020.5,2026-08-04 05:00:00,IMPS
TXN5518687,AC3291568710,Deepa Chad,AC9180203068,Isaiah Kibe,14161.84,2026-08-04 21:00:00,UPI
TXN3659854,AC3291568710,Deepa Chad,AC4696210662,Yashasvi Mammen,6594.38,2026-08-04 21:00:00,POS
TXN7739916,AC1089647651,Yug Balay,AC9742736835,Radhika Mukhopadhyay,1373.54,2026-08-04 21:00:00,UPI
TXN1667141,AC6677889900,Amit Banerjee,AC4696210662,Yashasvi Mammen,632.4,2026-08-04 21:00:00,UPI
TXN5614047,AC6396399128,Ryan Deol,AC3064401946,Rachit Muni,6983.09,2026-08-04 23:00:00,IMPS
TXN9383985,AC8287766385,Yachana Brar,AC4455667788,Vikram Singh,9775.65,2026-08-04 23:00:00,UPI
TXN2314875,AC6396399128,Ryan Deol,AC4899856501,Jagdish Thakkar,2271.72,2026-08-04 23:00:00,UPI
TXN2311216,AC8982566726,Henry Chander,AC3064401946,Rachit Muni,3553.83,2026-08-05 01:00:00,UPI
TXN2502658,AC3488555681,Vasatika Saha,AC3064401946,Rachit Muni,6792.36,2026-08-05 02:00:00,UPI
TXN2296464,AC5297465059,Jagat Kaur,AC3579174154,Chatresh Badami,4253.52,2026-08-05 04:00:00,IMPS
TXN6672866,AC4696210662,Yashasvi Mammen,AC3488555681,Vasatika Saha,570.14,2026-08-05 04:00:00,POS
TXN9839983,AC2518270208,Advay Buch,AC4299133711,Jairaj Natt,10183.35,2026-08-05 05:00:00,IMPS
TXN2456742,AC9443074726,Yashoda Atwal,AC4455667788,Vikram Singh,11510.05,2026-08-05 05:00:00,IMPS
TXN7626687,AC3064401946,Rachit Muni,AC9693438593,Rachita Oak,592.45,2026-08-05 21:00:00,UPI
TXN3830175,AC3452057664,Abeer Vaidya,AC8386324609,Sudiksha Trivedi,4215.23,2026-08-06 00:00:00,IMPS
TXN5368167,AC4455667788,Vikram Singh,AC3064401946,Rachit Muni,3498.25,2026-08-06 00:00:00,POS
TXN2658648,AC7923469940,Jalsa Deo,AC9988112233,Rahul Verma,2202.5,2026-08-06 04:00:00,POS
TXN9364292,AC5060963816,Wridesh Jain,AC7923469940,Jalsa Deo,10610.79,2026-08-06 04:00:00,IMPS
TXN8562907,AC5544332211,Sunita Sharma,AC4899856501,Jagdish Thakkar,7720.02,2026-08-06 05:00:00,IMPS
TXN2291070,AC2839288593,Ati Jha,AC4299133711,Jairaj Natt,12701.09,2026-08-06 21:00:00,UPI
TXN9855713,AC2471658709,Zayyan Mani,AC2222296206,Ekalinga Om,793.87,2026-08-06 21:00:00,UPI
TXN9947442,AC2471658709,Zayyan Mani,AC3452057664,Abeer Vaidya,3672.74,2026-08-06 22:00:00,UPI
TXN4894050,AC2471658709,Zayyan Mani,AC3452057664,Abeer Vaidya,2118.6,2026-08-06 23:00:00,IMPS
TXN8497719,AC3452057664,Abeer Vaidya,AC9668008862,Nitara Mital,8410.12,2026-08-07 01:00:00,POS
TXN6881064,AC9180203068,Isaiah Kibe,AC9693438593,Rachita Oak,7296.56,2026-08-07 01:00:00,UPI
TXN2436285,AC6396399128,Ryan Deol,AC3064401946,Rachit Muni,1186.28,2026-08-07 03:00:00,IMPS
TXN3753659,AC2557678480,Megha Lad,AC3429441363,Krisha Subramaniam,5721.61,2026-08-07 04:00:00,POS
TXN6296571,AC7923469940,Jalsa Deo,AC1089647651,Yug Balay,14850.38,2026-08-07 05:00:00,UPI
TXN2029089,AC2839288593,Ati Jha,AC2471658709,Zayyan Mani,7145.85,2026-08-07 20:00:00,POS
TXN8141666,AC5414168180,Faraj Bhavsar,AC2518270208,Advay Buch,12662.19,2026-08-07 21:00:00,IMPS
TXN5635738,AC8982566726,Henry Chander,AC9693438593,Rachita Oak,4850.93,2026-08-07 22:00:00,POS
TXN6607192,AC3452057664,Abeer Vaidya,AC5414168180,Faraj Bhavsar,11791.64,2026-08-07 22:00:00,IMPS
TXN8049387,AC6396399128,Ryan Deol,AC2557678480,Megha Lad,11939.36,2026-08-07 22:00:00,POS
TXN7337098,AC3291568710,Deepa Chad,AC8386324609,Sudiksha Trivedi,2186.87,2026-08-07 23:00:00,UPI
TXN4999763,AC3579174154,Chatresh Badami,AC2222296206,Ekalinga Om,9852.18,2026-08-08 01:00:00,IMPS
TXN7684042,AC9668008862,Nitara Mital,AC3291568710,Deepa Chad,11696.82,2026-08-08 02:00:00,IMPS
TXN9117711,AC3452057664,Abeer Vaidya,AC8386324609,Sudiksha Trivedi,11326.81,2026-08-08 04:00:00,POS
TXN9453814,AC4455667788,Vikram Singh,AC1122334455,Tariq Khan,150000,2026-08-08 10:00:00,IMPS
TXN7555824,AC5060963816,Wridesh Jain,AC9742736835,Radhika Mukhopadhyay,1934.0,2026-08-08 19:00:00,IMPS
TXN6143719,AC2557678480,Megha Lad,AC8386324609,Sudiksha Trivedi,14465.28,2026-08-08 19:00:00,UPI
TXN3498229,AC5297465059,Jagat Kaur,AC9443074726,Yashoda Atwal,5447.76,2026-08-08 22:00:00,UPI
TXN8018693,AC2557678480,Megha Lad,AC9693438593,Rachita Oak,1079.69,2026-08-08 23:00:00,IMPS
TXN2594133,AC3064401946,Rachit Muni,AC3429441363,Krisha Subramaniam,10012.48,2026-08-08 23:00:00,POS
TXN4961162,AC3579174154,Chatresh Badami,AC8386324609,Sudiksha Trivedi,14026.28,2026-08-09 02:00:00,IMPS
TXN8142522,AC2518270208,Advay Buch,AC9693438593,Rachita Oak,12537.13,2026-08-09 02:00:00,POS
TXN7450081,AC7485632891,Peter Gaba,AC4299133711,Jairaj Natt,10645.87,2026-08-09 04:00:00,POS
TXN9329354,AC2471658709,Zayyan Mani,AC5414168180,Faraj Bhavsar,10139.42,2026-08-09 05:00:00,POS
TXN2808406,AC5060963816,Wridesh Jain,AC6396399128,Ryan Deol,9100.34,2026-08-09 19:00:00,UPI
TXN6274155,AC3064401946,Rachit Muni,AC9693438593,Rachita Oak,12712.97,2026-08-09 19:00:00,UPI
TXN7155849,AC5414168180,Faraj Bhavsar,AC2471658709,Zayyan Mani,1215.27,2026-08-09 20:00:00,POS
TXN2811083,AC5241932002,Qabil Bail,AC6396399128,Ryan Deol,10441.54,2026-08-09 22:00:00,UPI
TXN3737089,AC9742736835,Radhika Mukhopadhyay,AC3429441363,Krisha Subramaniam,3870.73,2026-08-09 23:00:00,IMPS
TXN4652783,AC9668008862,Nitara Mital,AC4455667788,Vikram Singh,9438.92,2026-08-10 02:00:00,POS
TXN4121994,AC5544332211,Sunita Sharma,AC2222296206,Ekalinga Om,14314.7,2026-08-10 03:00:00,POS
TXN8716741,AC3291568710,Deepa Chad,AC6396399128,Ryan Deol,12126.37,2026-08-10 03:00:00,UPI
TXN7226526,AC6677889900,Amit Banerjee,AC4299133711,Jairaj Natt,6798.86,2026-08-10 03:00:00,UPI
TXN4629735,AC5297465059,Jagat Kaur,AC4455667788,Vikram Singh,8698.54,2026-08-10 03:00:00,UPI
TXN3629568,AC3291568710,Deepa Chad,AC4299133711,Jairaj Natt,8970.32,2026-08-10 05:00:00,UPI
TXN3690660,AC5544332211,Sunita Sharma,AC7923469940,Jalsa Deo,4205.48,2026-08-10 19:00:00,UPI
TXN2627503,AC6677889900,Amit Banerjee,AC5297465059,Jagat Kaur,5432.05,2026-08-10 20:00:00,POS
TXN7423461,AC6677889900,Amit Banerjee,AC7923469940,Jalsa Deo,7212.43,2026-08-10 20:00:00,POS
TXN4911744,AC3429441363,Krisha Subramaniam,AC9988112233,Rahul Verma,8294.75,2026-08-10 20:00:00,UPI
TXN2974243,AC2471658709,Zayyan Mani,AC6677889900,Amit Banerjee,4458.02,2026-08-11 03:00:00,POS
TXN8631572,AC3429441363,Krisha Subramaniam,AC8386324609,Sudiksha Trivedi,10093.94,2026-08-11 03:00:00,POS
TXN8753483,AC4899856501,Jagdish Thakkar,AC5414168180,Faraj Bhavsar,13205.38,2026-08-11 04:00:00,IMPS
TXN8523459,AC8287766385,Yachana Brar,AC8982566726,Henry Chander,10200.49,2026-08-11 04:00:00,IMPS
TXN8734605,AC5060963816,Wridesh Jain,AC8982566726,Henry Chander,1725.82,2026-08-11 04:00:00,POS
TXN5870804,AC5544332211,Sunita Sharma,AC3064401946,Rachit Muni,7936.78,2026-08-11 20:00:00,IMPS
TXN9500252,AC5414168180,Faraj Bhavsar,AC1122334455,Tariq Khan,13008.88,2026-08-12 01:00:00,POS
TXN3370870,AC3429441363,Krisha Subramaniam,AC1122334455,Tariq Khan,12433.0,2026-08-12 02:00:00,IMPS
TXN4575226,AC6677889900,Amit Banerjee,AC5544332211,Sunita Sharma,500000,2026-08-12 10:00:00,NEFT
TXN3280822,AC5060963816,Wridesh Jain,AC1089647651,Yug Balay,1559.21,2026-08-12 19:00:00,POS
TXN8574837,AC4696210662,Yashasvi Mammen,AC6677889900,Amit Banerjee,13612.7,2026-08-12 20:00:00,UPI
TXN6400092,AC5544332211,Sunita Sharma,AC5241932002,Qabil Bail,8530.82,2026-08-12 20:00:00,UPI
TXN6733283,AC7485632891,Peter Gaba,AC1089647651,Yug Balay,10659.93,2026-08-12 20:00:00,IMPS
TXN9182807,AC8982566726,Henry Chander,AC5060963816,Wridesh Jain,8987.03,2026-08-12 21:00:00,IMPS
TXN9973286,AC2471658709,Zayyan Mani,AC5241932002,Qabil Bail,4109.91,2026-08-12 22:00:00,IMPS
TXN7738002,AC9180203068,Isaiah Kibe,AC9988112233,Rahul Verma,9871.8,2026-08-12 22:00:00,POS
TXN8477653,AC3429441363,Krisha Subramaniam,AC4455667788,Vikram Singh,3144.42,2026-08-13 00:00:00,POS
TXN6650662,AC6677889900,Amit Banerjee,AC6396399128,Ryan Deol,4861.67,2026-08-13 00:00:00,UPI
TXN9918387,AC3579174154,Chatresh Badami,AC2471658709,Zayyan Mani,3008.46,2026-08-13 03:00:00,UPI
TXN4840533,AC9693438593,Rachita Oak,AC3488555681,Vasatika Saha,14356.82,2026-08-13 04:00:00,IMPS
TXN2898521,AC9668008862,Nitara Mital,AC4455667788,Vikram Singh,13660.33,2026-08-13 05:00:00,POS
TXN5072157,AC6396399128,Ryan Deol,AC8982566726,Henry Chander,13505.91,2026-08-13 20:00:00,UPI
TXN8636592,AC5414168180,Faraj Bhavsar,AC8982566726,Henry Chander,9801.09,2026-08-13 21:00:00,POS
TXN5696528,AC8386324609,Sudiksha Trivedi,AC3452057664,Abeer Vaidya,10442.87,2026-08-13 22:00:00,IMPS
TXN2702709,AC9742736835,Radhika Mukhopadhyay,AC4455667788,Vikram Singh,1541.76,2026-08-13 22:00:00,IMPS
TXN4488321,AC9443074726,Yashoda Atwal,AC1089647651,Yug Balay,2657.82,2026-08-13 22:00:00,IMPS
TXN8578894,AC8982566726,Henry Chander,AC9180203068,Isaiah Kibe,2928.64,2026-08-14 00:00:00,POS
TXN9095067,AC2839288593,Ati Jha,AC9668008862,Nitara Mital,14601.85,2026-08-14 03:00:00,UPI
TXN3787325,AC2471658709,Zayyan Mani,AC3579174154,Chatresh Badami,11492.71,2026-08-14 03:00:00,UPI
TXN2459448,AC4455667788,Vikram Singh,AC9742736835,Radhika Mukhopadhyay,13472.37,2026-08-14 04:00:00,UPI
TXN7854515,AC6396399128,Ryan Deol,AC2222296206,Ekalinga Om,8024.12,2026-08-14 04:00:00,IMPS
TXN9062473,AC1122334455,Tariq Khan,AC6677889900,Amit Banerjee,350000,2026-08-14 10:00:00,RTGS
TXN4031830,AC7923469940,Jalsa Deo,AC3291568710,Deepa Chad,2330.38,2026-08-14 21:00:00,UPI
TXN1944106,AC5544332211,Sunita Sharma,AC1122334455,Tariq Khan,6768.29,2026-08-14 21:00:00,POS
TXN5282210,AC5241932002,Qabil Bail,AC3488555681,Vasatika Saha,1065.46,2026-08-15 00:00:00,IMPS
TXN3416289,AC3579174154,Chatresh Badami,AC3452057664,Abeer Vaidya,3844.2,2026-08-15 00:00:00,POS
TXN4287845,AC2471658709,Zayyan Mani,AC6396399128,Ryan Deol,11683.5,2026-08-15 01:00:00,UPI
TXN2677483,AC9443074726,Yashoda Atwal,AC6396399128,Ryan Deol,10350.52,2026-08-15 02:00:00,IMPS
TXN5827553,AC3579174154,Chatresh Badami,AC9742736835,Radhika Mukhopadhyay,14087.4,2026-08-15 03:00:00,UPI
TXN1755485,AC3452057664,Abeer Vaidya,AC1122334455,Tariq Khan,2947.36,2026-08-15 03:00:00,UPI
TXN9631213,AC3429441363,Krisha Subramaniam,AC1122334455,Tariq Khan,9827.44,2026-08-15 04:00:00,IMPS
TXN4369932,AC9988112233,Rahul Verma,AC9693438593,Rachita Oak,12336.71,2026-08-15 05:00:00,UPI
TXN8194233,AC6396399128,Ryan Deol,AC9988112233,Rahul Verma,7588.3,2026-08-15 05:00:00,UPI
TXN8480877,AC9988112233,Rahul Verma,AC4899856501,Jagdish Thakkar,7615.87,2026-08-15 19:00:00,IMPS
TXN8757346,AC7485632891,Peter Gaba,AC5060963816,Wridesh Jain,7149.9,2026-08-15 20:00:00,UPI
TXN4272579,AC9693438593,Rachita Oak,AC2518270208,Advay Buch,6878.19,2026-08-15 21:00:00,IMPS
TXN2769668,AC5297465059,Jagat Kaur,AC8386324609,Sudiksha Trivedi,8632.79,2026-08-15 22:00:00,IMPS
TXN3971244,AC9443074726,Yashoda Atwal,AC5060963816,Wridesh Jain,2425.15,2026-08-16 02:00:00,IMPS
TXN1733724,AC7485632891,Peter Gaba,AC5544332211,Sunita Sharma,10092.98,2026-08-16 02:00:00,IMPS
TXN7216062,AC8982566726,Henry Chander,AC8287766385,Yachana Brar,8907.01,2026-08-16 04:00:00,UPI
TXN6030056,AC9668008862,Nitara Mital,AC7485632891,Peter Gaba,9625.83,2026-08-16 04:00:00,POS
TXN7773509,AC5060963816,Wridesh Jain,AC5414168180,Faraj Bhavsar,13722.93,2026-08-16 19:00:00,UPI
TXN3326199,AC2557678480,Megha Lad,AC2471658709,Zayyan Mani,3672.05,2026-08-16 19:00:00,UPI
TXN4496106,AC9180203068,Isaiah Kibe,AC7923469940,Jalsa Deo,5600.38,2026-08-16 20:00:00,POS
TXN6942800,AC3429441363,Krisha Subramaniam,AC2839288593,Ati Jha,8827.21,2026-08-16 21:00:00,UPI
TXN9762449,AC8982566726,Henry Chander,AC8287766385,Yachana Brar,4392.75,2026-08-16 22:00:00,POS
TXN5939979,AC2471658709,Zayyan Mani,AC3291568710,Deepa Chad,4432.5,2026-08-17 00:00:00,UPI
TXN1893325,AC2839288593,Ati Jha,AC9988112233,Rahul Verma,11284.4,2026-08-17 03:00:00,POS
TXN5916634,AC5544332211,Sunita Sharma,AC8386324609,Sudiksha Trivedi,11309.01,2026-08-17 19:00:00,IMPS
TXN8270490,AC3291568710,Deepa Chad,AC5241932002,Qabil Bail,13467.62,2026-08-17 19:00:00,POS
TXN7063058,AC8287766385,Yachana Brar,AC1122334455,Tariq Khan,12754.72,2026-08-17 20:00:00,UPI
TXN5380025,AC3291568710,Deepa Chad,AC4299133711,Jairaj Natt,14449.04,2026-08-17 20:00:00,UPI
TXN1729861,AC5414168180,Faraj Bhavsar,AC5060963816,Wridesh Jain,5103.12,2026-08-17 20:00:00,POS
TXN6551606,AC8982566726,Henry Chander,AC7923469940,Jalsa Deo,9748.87,2026-08-17 22:00:00,POS
TXN4058557,AC6677889900,Amit Banerjee,AC5414168180,Faraj Bhavsar,3838.57,2026-08-17 23:00:00,IMPS
TXN7815848,AC5060963816,Wridesh Jain,AC3429441363,Krisha Subramaniam,5349.68,2026-08-18 01:00:00,POS
TXN5585946,AC9742736835,Radhika Mukhopadhyay,AC8287766385,Yachana Brar,11425.86,2026-08-18 05:00:00,IMPS
TXN6016135,AC5297465059,Jagat Kaur,AC5544332211,Sunita Sharma,3676.51,2026-08-18 05:00:00,IMPS
TXN5528739,AC4899856501,Jagdish Thakkar,AC9443074726,Yashoda Atwal,14525.26,2026-08-18 19:00:00,UPI
TXN5159711,AC3452057664,Abeer Vaidya,AC5060963816,Wridesh Jain,9709.39,2026-08-18 19:00:00,UPI
TXN3347538,AC8287766385,Yachana Brar,AC4299133711,Jairaj Natt,7427.65,2026-08-18 20:00:00,IMPS
TXN9974344,AC2518270208,Advay Buch,AC1089647651,Yug Balay,977.45,2026-08-18 20:00:00,UPI
TXN3074570,AC5414168180,Faraj Bhavsar,AC9693438593,Rachita Oak,702.43,2026-08-18 23:00:00,IMPS
TXN5680844,AC4899856501,Jagdish Thakkar,AC3064401946,Rachit Muni,14326.94,2026-08-19 00:00:00,POS
TXN6096652,AC5060963816,Wridesh Jain,AC3579174154,Chatresh Badami,5580.6,2026-08-19 01:00:00,POS
TXN1944530,AC1089647651,Yug Balay,AC4299133711,Jairaj Natt,6689.31,2026-08-19 01:00:00,IMPS
TXN4151990,AC9668008862,Nitara Mital,AC9443074726,Yashoda Atwal,5002.91,2026-08-19 03:00:00,IMPS
TXN3049107,AC5241932002,Qabil Bail,AC3488555681,Vasatika Saha,13343.24,2026-08-19 05:00:00,UPI
TXN3353012,AC2222296206,Ekalinga Om,AC2839288593,Ati Jha,1874.89,2026-08-19 20:00:00,IMPS
TXN4787328,AC7923469940,Jalsa Deo,AC4899856501,Jagdish Thakkar,9939.93,2026-08-19 21:00:00,UPI
TXN1196292,AC3488555681,Vasatika Saha,AC4696210662,Yashasvi Mammen,1972.95,2026-08-19 22:00:00,IMPS
TXN7399041,AC1122334455,Tariq Khan,AC3291568710,Deepa Chad,6047.98,2026-08-19 23:00:00,POS
TXN8631893,AC5297465059,Jagat Kaur,AC2471658709,Zayyan Mani,4227.77,2026-08-20 01:00:00,IMPS
TXN9837670,AC5060963816,Wridesh Jain,AC5544332211,Sunita Sharma,12673.84,2026-08-20 04:00:00,POS
TXN3330385,AC5297465059,Jagat Kaur,AC4299133711,Jairaj Natt,7623.92,2026-08-20 04:00:00,UPI
TXN5563309,AC9742736835,Radhika Mukhopadhyay,AC4299133711,Jairaj Natt,14554.8,2026-08-20 04:00:00,UPI
TXN3034868,AC1089647651,Yug Balay,AC7923469940,Jalsa Deo,4377.12,2026-08-20 19:00:00,IMPS
TXN5726492,AC2557678480,Megha Lad,AC8386324609,Sudiksha Trivedi,11324.63,2026-08-20 22:00:00,IMPS
TXN3776622,AC3291568710,Deepa Chad,AC5414168180,Faraj Bhavsar,6100.15,2026-08-20 23:00:00,POS
TXN5743877,AC5241932002,Qabil Bail,AC7485632891,Peter Gaba,6032.66,2026-08-21 00:00:00,UPI
TXN1238010,AC4299133711,Jairaj Natt,AC8386324609,Sudiksha Trivedi,11641.82,2026-08-21 00:00:00,IMPS
TXN3275158,AC4299133711,Jairaj Natt,AC3064401946,Rachit Muni,7320.41,2026-08-21 00:00:00,POS
TXN2200201,AC2222296206,Ekalinga Om,AC7923469940,Jalsa Deo,10384.87,2026-08-21 01:00:00,UPI
TXN4385615,AC4899856501,Jagdish Thakkar,AC3579174154,Chatresh Badami,11639.27,2026-08-21 01:00:00,IMPS
TXN7862416,AC3064401946,Rachit Muni,AC4455667788,Vikram Singh,11229.58,2026-08-21 01:00:00,UPI
TXN3842846,AC8982566726,Henry Chander,AC5544332211,Sunita Sharma,1910.89,2026-08-21 03:00:00,IMPS
TXN4253494,AC9988112233,Rahul Verma,AC6677889900,Amit Banerjee,3495.61,2026-08-21 03:00:00,POS
TXN8260458,AC1089647651,Yug Balay,AC5414168180,Faraj Bhavsar,5456.49,2026-08-21 04:00:00,UPI
TXN2691675,AC6396399128,Ryan Deol,AC2839288593,Ati Jha,5031.02,2026-08-21 04:00:00,IMPS
TXN9257085,AC5414168180,Faraj Bhavsar,AC9180203068,Isaiah Kibe,8130.68,2026-08-21 04:00:00,POS
TXN2293710,AC4899856501,Jagdish Thakkar,AC8287766385,Yachana Brar,14581.75,2026-08-21 20:00:00,POS
TXN2368573,AC5297465059,Jagat Kaur,AC9988112233,Rahul Verma,3773.86,2026-08-21 21:00:00,IMPS
TXN8117544,AC8287766385,Yachana Brar,AC3579174154,Chatresh Badami,11013.39,2026-08-22 00:00:00,IMPS
TXN5991790,AC9693438593,Rachita Oak,AC3488555681,Vasatika Saha,4486.95,2026-08-22 01:00:00,UPI
TXN9865637,AC9988112233,Rahul Verma,AC4299133711,Jairaj Natt,9522.62,2026-08-22 02:00:00,UPI
TXN8421705,AC4696210662,Yashasvi Mammen,AC2518270208,Advay Buch,8648.25,2026-08-22 03:00:00,UPI
TXN3536212,AC4299133711,Jairaj Natt,AC2471658709,Zayyan Mani,579.13,2026-08-22 05:00:00,POS
TXN5114837,AC3429441363,Krisha Subramaniam,AC3291568710,Deepa Chad,12742.81,2026-08-22 05:00:00,UPI
TXN3084763,AC1122334455,Tariq Khan,AC4299133711,Jairaj Natt,10776.28,2026-08-22 23:00:00,IMPS
TXN1155817,AC5297465059,Jagat Kaur,AC2557678480,Megha Lad,2412.05,2026-08-23 00:00:00,UPI
TXN4443091,AC9443074726,Yashoda Atwal,AC8386324609,Sudiksha Trivedi,8762.06,2026-08-23 00:00:00,POS
TXN6021986,AC2471658709,Zayyan Mani,AC5060963816,Wridesh Jain,11792.19,2026-08-23 02:00:00,IMPS
TXN3070363,AC5241932002,Qabil Bail,AC4455667788,Vikram Singh,12045.38,2026-08-23 03:00:00,IMPS
TXN2873930,AC1122334455,Tariq Khan,AC9668008862,Nitara Mital,4530.24,2026-08-23 21:00:00,IMPS
TXN9787445,AC8982566726,Henry Chander,AC7485632891,Peter Gaba,10788.33,2026-08-23 22:00:00,IMPS
TXN7327534,AC3452057664,Abeer Vaidya,AC5297465059,Jagat Kaur,14968.07,2026-08-23 22:00:00,POS
TXN7860421,AC4455667788,Vikram Singh,AC8287766385,Yachana Brar,3832.92,2026-08-24 00:00:00,UPI
TXN3410594,AC3429441363,Krisha Subramaniam,AC8287766385,Yachana Brar,7200.45,2026-08-24 02:00:00,POS
TXN1181153,AC1122334455,Tariq Khan,AC8982566726,Henry Chander,4975.45,2026-08-24 02:00:00,POS
TXN5440033,AC9693438593,Rachita Oak,AC7485632891,Peter Gaba,9527.47,2026-08-24 04:00:00,UPI
TXN1941217,AC4899856501,Jagdish Thakkar,AC1122334455,Tariq Khan,13431.36,2026-08-24 05:00:00,IMPS
TXN8681157,AC9668008862,Nitara Mital,AC9988112233,Rahul Verma,8771.0,2026-08-24 20:00:00,POS
TXN6375128,AC2518270208,Advay Buch,AC8982566726,Henry Chander,3595.86,2026-08-24 20:00:00,IMPS
TXN9031308,AC5297465059,Jagat Kaur,AC9742736835,Radhika Mukhopadhyay,10098.49,2026-08-24 21:00:00,UPI
TXN4681727,AC5414168180,Faraj Bhavsar,AC5544332211,Sunita Sharma,12405.78,2026-08-24 23:00:00,UPI
TXN3999264,AC3291568710,Deepa Chad,AC2518270208,Advay Buch,7373.29,2026-08-25 01:00:00,POS
TXN7927118,AC4899856501,Jagdish Thakkar,AC5060963816,Wridesh Jain,5110.07,2026-08-25 01:00:00,POS
TXN8404898,AC2518270208,Advay Buch,AC1122334455,Tariq Khan,888.51,2026-08-25 02:00:00,IMPS
TXN2714985,AC2557678480,Megha Lad,AC5544332211,Sunita Sharma,4846.54,2026-08-25 03:00:00,POS
TXN9826217,AC2839288593,Ati Jha,AC8982566726,Henry Chander,4282.57,2026-08-25 19:00:00,POS
